,avg_unemployment,survey_year,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg,Appointment_Count,appointment_binary
5844,4.0,2024,Continuing Education,1,Education - Speech Communication Disorders,Female,School of Education and Human Development,0,0,20,,0,1,1,0,0,0,0.0,0
5845,4.0,2024,Still Looking,0,Mathematics,Male,College and Graduate School of Arts & Sciences,0,1,4,4.0,0,0,0,1,0,0,0.0,0
5846,4.0,2024,Working,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1,0,,0,1,0,0,0,0,0.0,0
5847,4.0,2024,Still Looking,2,Architecture - Landscape Architecture,Female,School of Architecture,0,0,25,,0,1,0,1,0,0,2.0,1
5848,4.0,2024,Still Looking,1,Architecture - Architectural History,Female,School of Architecture,0,4,49,,0,1,0,1,1,1,0.0,0
5849,4.0,2024,Still Looking,1,Architecture - Architectural History,Female,School of Architecture,0,4,49,4.46,0,1,0,1,1,1,0.0,0
5850,4.0,2024,Still Looking,3,Architecture,Female,School of Architecture,0,1,1,,0,1,0,1,0,0,0.0,0
5851,4.0,2024,Still Looking,1,Architecture,Female,School of Architecture,0,0,5,4.0,0,1,0,1,0,0,0.0,0
5852,4.0,2024,Still Looking,1,Architecture,Female,School of Architecture,0,0,5,3.5,0,1,0,1,0,0,0.0,0
5853,4.0,2024,Still Looking,1,Data Science,Male,School of Data Science,0,6,58,,0,1,0,1,1,1,0.0,0
5854,4.0,2024,Not Seeking,2,Architecture,Female,School of Architecture,0,0,0,3.9,1,1,0,0,0,0,1.0,1
5855,4.0,2024,Working,2,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,5,11,,0,1,0,0,1,0,0.0,0
5856,4.0,2024,Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,5,285,,0,1,0,0,1,1,0.0,0
5857,4.0,2024,Working,0,Architecture,Female,School of Architecture,1,1,16,,0,0,0,0,0,0,0.0,0
5858,4.0,2024,Still Looking,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,19,,0,0,0,1,0,0,0.0,0
5859,4.0,2024,Still Looking,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,19,3.7,0,0,0,1,0,0,0.0,0
5860,4.0,2024,Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,3,5,,0,0,0,0,1,0,3.0,1
5861,4.0,2024,Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,6,850,,0,1,0,0,1,1,0.0,0
5862,4.0,2024,Working,0,Education - Special Education,Female,School of Education and Human Development,1,0,0,,0,0,0,0,0,0,0.0,0
5863,4.0,2024,Working,3,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,0,2,3.95,0,1,0,0,0,0,0.0,0
5864,4.0,2024,Still Looking,0,Architecture,Male,School of Architecture,0,0,2,,0,0,0,1,0,0,0.0,0
5865,4.0,2024,Working,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,5,54,,0,1,0,0,1,1,2.0,1
5866,4.0,2024,Working,3,Environmental Thought & Practice - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,192,,0,1,0,0,0,1,0.0,0
5867,4.0,2024,Still Looking,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0,238,4.47,0,0,0,1,0,1,0.0,0
5868,4.0,2024,Still Looking,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0,238,3.75,0,0,0,1,0,1,0.0,0
5869,4.0,2024,Not Seeking,2,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,0,3.67,1,1,0,0,1,0,0.0,0
5870,4.0,2024,Continuing Education,1,Education - Educational Psychology,Female,School of Education and Human Development,0,0,0,,0,1,1,0,0,0,0.0,0
5871,4.0,2024,Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0,15,,0,0,0,0,0,0,0.0,0
